Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,29-12-2022
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000,21-03-2024
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000,01-06-2021
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000,19-07-2024
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000,20-06-2023
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000,17-09-2021
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000,15-06-2020
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000,01-05-2023
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000,01-06-2024
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,19-08-2024
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000,11-03-2023
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000,21-10-2022
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000,22-02-2020
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,28-03-2024
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000,25-07-2024
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000,06-11-2021
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000,31-05-2021
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000,21-04-2020
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000,29-01-2023
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000,14-07-2023
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000,19-09-2024
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000,20-08-2021
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000,25-01-2021
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,05-11-2022
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,29-09-2022
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,5621000,21-10-2021
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,1319000,26-08-2022
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,10-11-2021
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000,22-10-2020
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000,25-03-2022
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000,14-03-2020
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000,06-04-2024
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000,23-08-2021
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000,10-06-2020
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000,04-06-2021
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,242000,23-06-2022
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,1071000,10-09-2021
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000,03-12-2023
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000,06-03-2024
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000,20-10-2023
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000,21-06-2022
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000,27-09-2020
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000,17-04-2025
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,39284000,07-04-2021
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000,10-09-2020
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000,23-04-2021
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000,10-09-2021
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000,05-01-2023
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000,29-02-2024
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000,29-06-2022
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,13-08-2023
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000,07-08-2023
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000,16-04-2024
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000,24-10-2024
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,05-06-2024
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000,12-05-2022
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000,29-03-2021
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000,07-09-2022
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000,14-05-2020
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000,24-05-2023
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000,27-03-2022
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000,30-08-2024
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000,13-02-2023
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000,16-01-2024
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000,14-09-2022
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000,11-07-2024
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000,13-07-2021
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000,26-02-2024
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,233000,26-10-2021
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000,17-09-2023
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000,03-08-2021
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000,20-04-2025
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000,25-12-2020
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000,30-10-2024
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,339000,09-04-2022
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000,26-02-2025
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000,17-11-2024
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000,22-12-2022
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000,26-10-2020
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000,10-07-2023
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000,11-06-2025
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000,05-11-2022
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000,24-06-2025
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000,09-06-2024
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,11-07-2022
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000,20-12-2023
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000,22-10-2023
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000,22-01-2024
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000,01-12-2023
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000,24-08-2024
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,04-01-2021
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000,28-08-2021
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000,11-11-2020
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000,17-10-2023
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,01-02-2021
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000,07-05-2022
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000,29-07-2020
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000,14-06-2022
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000,25-10-2022
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000,24-08-2023
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000,18-08-2022
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000,29-01-2024
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000,13-06-2024
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000,23-03-2023
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000,14-03-2023
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000,05-11-2022
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,18-05-2020
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000,22-12-2021
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000,09-05-2020
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000,27-07-2024
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000,25-06-2024
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000,15-10-2022
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000,11-08-2024
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000,09-01-2024
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000,16-07-2021
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000,19-10-2020
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000,28-04-2025
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,1451000,20-12-2022
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2518000,03-03-2022
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,76000,04-10-2020
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,64925000,31-01-2023
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000,07-11-2022
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,18-03-2023
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000,08-01-2024
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000,24-10-2023
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,23-04-2020
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,06-04-2021
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000,04-07-2023
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000,04-04-2023
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000,26-04-2025
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000,13-05-2025
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,5554000,18-09-2022
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,175000,28-01-2022
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000,17-07-2020
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,142830000,27-03-2025
NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,15-10-2022
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,13-04-2020
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,888000,25-06-2021
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,14-08-2021
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000,19-06-2025
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,1549000,02-04-2022
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,11397000,21-11-2022
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,5167000,04-11-2022
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,52000,12-08-2020
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000,17-01-2024
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,120606000,17-02-2022
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,20000,04-10-2021
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000,15-02-2024
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,379000,20-12-2020
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,6512000,28-01-2021
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,30480000,14-11-2023
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000,30-06-2025
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,692000,24-06-2022
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,120000,26-02-2024
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,166000,07-11-2021
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,150998000,11-08-2021
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000,20-01-2024
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,19590000,24-03-2022
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,5935000,07-08-2020
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,407000,18-08-2020
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000,07-06-2024
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,54137000,21-11-2022
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,133000,23-05-2021
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000,19-03-2023
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,74232000,11-08-2022
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000,10-04-2025
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000,25-05-2023
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,110486000,25-10-2023
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,938000,24-08-2024
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,319000,24-02-2021
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,4770000,18-02-2023
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,3795000,02-04-2020
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,103000,03-01-2021
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000,30-10-2023
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000,27-06-2025
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,106000,15-02-2022
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,114859000,08-05-2022
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,96000,09-03-2020
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,12766000,10-01-2023
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,1687000,09-05-2023
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000,06-12-2024
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,196000,02-05-2022
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000,16-02-2025
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,1535000,07-11-2021
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000,24-11-2024
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,01-02-2020
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000,12-12-2023
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000,21-08-2023
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,148000,19-01-2024
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,27-02-2024
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000,02-09-2024
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000,09-02-2024
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000,14-09-2024
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000,15-07-2023
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,1580000,30-07-2023
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000,04-02-2020
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,93643000,06-02-2025
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,72000,14-12-2022
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,5288000,13-05-2021
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000,28-07-2023
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000,23-10-2024
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000,05-04-2020
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000,07-10-2024
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,04-09-2021
