Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000,2021-10-30
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000,2021-09-08
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000,2022-08-10
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000,2021-08-04
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000,2021-02-11
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000,2023-07-13
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000,2021-03-24
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000,2022-08-09
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000,2025-01-31
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000,2022-12-03
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000,2021-10-16
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000,2021-11-08
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000,2024-04-16
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000,2023-01-23
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000,2024-06-22
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000,2023-09-19
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000,2021-11-01
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000,2020-06-16
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,2021-02-12
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000,2022-08-10
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000,2020-02-22
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000,2024-08-28
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000,2022-05-27
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000,2024-08-24
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000,2024-02-06
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000,2023-03-13
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,2021-06-13
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000,2022-04-12
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000,2021-03-29
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000,2024-03-07
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000,2024-03-01
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000,2022-12-10
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,2022-12-29
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000,2024-03-21
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000,2021-06-01
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000,2024-07-19
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000,2023-06-20
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000,2021-09-17
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000,2020-06-15
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000,2023-05-01
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000,2024-06-01
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,2024-08-19
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000,2023-03-11
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000,2022-10-21
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000,2020-02-22
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,2024-03-28
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000,2024-07-25
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000,2021-11-06
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000,2021-05-31
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000,2020-04-21
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000,2023-01-29
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000,2023-07-14
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000,2024-09-19
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000,2021-08-20
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000,2021-01-25
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,2022-11-05
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,2022-09-29
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,5621000,2021-10-21
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,1319000,2022-08-26
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,2021-11-10
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000,2020-10-22
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000,2022-03-25
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000,2020-03-14
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000,2024-04-06
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000,2021-08-23
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000,2020-06-10
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000,2021-06-04
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,242000,2022-06-23
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,1071000,2021-09-10
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000,2023-12-03
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000,2024-03-06
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000,2023-10-20
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000,2022-06-21
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000,2020-09-27
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000,2025-04-17
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,39284000,2021-04-07
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000,2020-09-10
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000,2021-04-23
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000,2021-09-10
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000,2023-01-05
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000,2024-02-29
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000,2022-06-29
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,2023-08-13
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000,2023-08-07
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000,2024-04-16
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000,2024-10-24
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,2024-06-05
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000,2022-05-12
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000,2021-03-29
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000,2022-09-07
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000,2020-05-14
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000,2023-05-24
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000,2022-03-27
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000,2024-08-30
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000,2023-02-13
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000,2024-01-16
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000,2022-09-14
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000,2024-07-11
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000,2021-07-13
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000,2024-02-26
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,233000,2021-10-26
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000,2023-09-17
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000,2021-08-03
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000,2025-04-20
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000,2020-12-25
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000,2024-10-30
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,339000,2022-04-09
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000,2025-02-26
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000,2024-11-17
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000,2022-12-22
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000,2020-10-26
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000,2023-07-10
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000,2025-06-11
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000,2022-11-05
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000,2025-06-24
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000,2024-06-09
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,2022-07-11
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000,2023-12-20
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000,2023-10-22
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000,2024-01-22
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000,2023-12-01
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000,2024-08-24
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,2021-01-04
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000,2021-08-28
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000,2020-11-11
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000,2023-10-17
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,2021-02-01
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000,2022-05-07
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000,2020-07-29
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000,2022-06-14
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000,2022-10-25
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000,2023-08-24
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000,2022-08-18
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000,2024-01-29
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000,2024-06-13
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000,2023-03-23
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000,2023-03-14
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000,2022-11-05
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,2020-05-18
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000,2021-12-22
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000,2020-05-09
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000,2024-07-27
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000,2024-06-25
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000,2022-10-15
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000,2024-08-11
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000,2024-01-09
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000,2021-07-16
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000,2020-10-19
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000,2025-04-28
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,1451000,2022-12-20
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2518000,2022-03-03
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,76000,2020-10-04
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,64925000,2023-01-31
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000,2022-11-07
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,2023-03-18
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000,2024-01-08
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000,2023-10-24
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,2020-04-23
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,2021-04-06
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000,2023-07-04
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000,2023-04-04
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000,2025-04-26
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000,2025-05-13
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,5554000,2022-09-18
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,175000,2022-01-28
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000,2020-07-17
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,142830000,2025-03-27
NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,2022-10-15
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,2020-04-13
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,888000,2021-06-25
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,2021-08-14
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000,2025-06-19
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,1549000,2022-04-02
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,11397000,2022-11-21
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,5167000,2022-11-04
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,52000,2020-08-12
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000,2024-01-17
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,120606000,2022-02-17
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,20000,2021-10-04
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000,2024-02-15
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,379000,2020-12-20
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,6512000,2021-01-28
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,30480000,2023-11-14
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000,2025-06-30
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,692000,2022-06-24
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,120000,2024-02-26
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,166000,2021-11-07
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,150998000,2021-08-11
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000,2024-01-20
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,19590000,2022-03-24
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,5935000,2020-08-07
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,407000,2020-08-18
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000,2024-06-07
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,54137000,2022-11-21
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,133000,2021-05-23
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000,2023-03-19
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,74232000,2022-08-11
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000,2025-04-10
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000,2023-05-25
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,110486000,2023-10-25
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,938000,2024-08-24
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,319000,2021-02-24
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,4770000,2023-02-18
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,3795000,2020-04-02
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,103000,2021-01-03
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000,2023-10-30
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000,2025-06-27
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,106000,2022-02-15
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,114859000,2022-05-08
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,96000,2020-03-09
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,12766000,2023-01-10
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,1687000,2023-05-09
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000,2024-12-06
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,196000,2022-05-02
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000,2025-02-16
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,1535000,2021-11-07
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000,2024-11-24
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,2020-02-01
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000,2023-12-12
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000,2023-08-21
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,148000,2024-01-19
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,2024-02-27
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000,2024-09-02
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000,2024-02-09
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000,2024-09-14
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000,2023-07-15
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,1580000,2023-07-30
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000,2020-02-04
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,93643000,2025-02-06
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,72000,2022-12-14
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,5288000,2021-05-13
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000,2023-07-28
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000,2024-10-23
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000,2020-04-05
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000,2024-10-07
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,2021-09-04
